,PSdelay,TIE_PLL_sdev,phasePSvsPLL_mean_40M,phasePSvsPLL_sdev_40M,dutyCycle_PLL_40M,period_PLL_40M,TIE_PS_sdev_40M,phasePSvsPLL_mean_80M,phasePSvsPLL_sdev_80M,TIE_PS_sdev_80M,phasePSvsPLL_mean_640M,phasePSvsPLL_sdev_640M,TIE_PS_sdev_640M,TIE_PLL_sdev_40M0,TIE_PLL_sdev_640M0,TIE_PLL_sdev_40M1,TIE_PLL_sdev_640M1,TIE_PLL_sdev_40M2,TIE_PLL_sdev_640M2,TIE_PLL_sdev_40M3,TIE_PLL_sdev_640M3,TIE_PLL_sdev_40M4,TIE_PLL_sdev_640M4,TIE_PLL_sdev_40M5,TIE_PLL_sdev_640M5
0,0,12.939,17.166,6.387,50.078,25.0,7.875,11.141,8.06,7.825,0.914,4.604,8.236,7.3,7.4,7.842,8.099,6.384,8.404,7.816,8.508,8.019,8.476,7.889,8.654
1,1,12.81,17.265,5.492,50.087,25.0,8.188,11.231,7.816,8.492,1.01,3.687,8.171,7.2,7.8,7.751,7.932,6.321,8.416,7.959,8.414,7.841,8.407,,
2,2,12.871,17.368,5.248,50.145,25.0,8.016,11.33,7.838,8.262,1.115,3.746,8.278,7.1,-1,8.343,7.737,6.299,-1.0,8.441,8.355,8.369,8.322,8.285,8.348
3,3,12.163,17.464,4.979,50.158,25.0,7.765,11.426,5.028,7.731,1.213,3.678,7.952,7,7.9,8.048,7.65,6.39,-1.0,8.04,8.242,8.076,8.225,,
4,4,11.808,17.559,6.83,50.157,25.0,7.67,11.524,5.791,7.94,1.305,3.732,7.693,6.6,7.8,7.83,7.525,6.366,8.408,7.81,8.185,8.015,8.176,7.979,8.134
5,5,11.667,17.647,5.132,50.164,25.0,7.655,11.616,5.497,7.643,1.401,3.431,7.496,6.5,7.7,7.736,-1.0,6.351,8.37,7.913,8.471,7.805,8.452,,
6,6,11.435,17.74,5.285,50.174,25.0,7.444,11.71,6.493,7.349,1.49,2.822,7.365,6.5,7.7,7.768,-1.0,6.456,8.448,-1.0,8.656,7.866,8.662,7.736,8.14
7,7,11.261,17.838,5.062,50.177,25.0,6.918,11.802,6.56,7.167,0.027,4.913,7.425,6.4,8.1,7.464,7.697,6.417,8.403,7.492,8.695,7.536,8.539,,
8,8,0.0,17.932,5.6,50.197,25.0,6.904,11.896,5.378,7.048,0.127,2.898,0.0,6.5,8.8,7.273,7.676,6.402,8.421,7.703,8.156,7.396,8.202,7.448,7.717
9,9,10.317,18.029,4.87,50.237,25.0,6.874,11.994,4.775,6.956,0.222,4.958,6.88,6.5,9.3,7.534,7.759,6.662,8.39,7.401,8.278,7.209,8.206,,
10,10,9.367,18.125,6.265,50.215,25.0,6.483,12.09,6.184,6.501,0.314,4.667,6.447,6.5,9.5,7.321,7.996,6.377,8.39,7.189,8.332,7.164,8.31,7.302,8.174
11,11,9.612,18.2,5.863,50.173,25.0,6.484,12.178,5.463,6.606,0.402,3.647,6.509,6.6,9.7,6.932,7.95,6.495,8.37,6.945,8.416,7.012,8.4,,
12,12,9.482,18.274,5.033,50.169,25.0,6.357,12.273,5.492,6.395,0.492,4.415,6.534,6.5,10,6.639,7.935,6.474,8.4,6.561,8.433,6.756,8.427,6.722,8.463
13,13,9.743,18.366,4.625,50.173,25.0,6.403,12.368,5.381,6.553,0.585,4.176,6.758,6.6,10.3,6.674,7.883,6.171,8.397,6.509,8.474,6.358,8.465,,
14,14,9.772,18.459,5.856,50.17,25.0,6.382,12.463,7.395,6.596,0.682,3.758,6.632,6.6,10.2,6.42,7.848,6.242,8.367,6.563,8.436,6.55,8.398,6.516,8.505
15,15,9.689,18.551,5.453,50.156,25.0,6.483,0.052,4.32,6.502,0.774,3.548,6.561,6.7,10.1,6.573,8.161,6.529,-1.0,6.668,8.671,6.347,8.713,,
16,16,9.653,18.732,5.686,50.083,25.0,6.435,0.234,5.086,6.51,0.917,3.129,6.58,6.7,9.2,,,,,-1.0,9.966,6.455,9.917,6.514,9.16
17,17,9.835,18.831,5.429,50.093,25.0,6.419,0.328,5.116,6.625,1.011,4.019,6.69,6.9,9.3,,,,,6.407,10.05,6.478,10.016,,
18,18,9.758,18.935,5.488,50.152,25.0,6.559,0.426,4.623,6.766,1.117,3.24,6.669,6.8,9.1,,,,,-1.0,9.792,6.538,9.846,6.569,9.333
19,19,9.563,19.032,5.053,50.162,25.0,6.589,0.518,4.812,6.675,1.212,3.263,6.626,7.1,9.1,,,,,6.406,9.761,6.667,9.752,,
20,20,9.555,19.125,6.212,50.163,25.0,6.492,0.61,4.763,6.559,1.307,3.565,6.545,6.9,-1,,,,,-1.0,9.967,6.391,9.997,6.505,9.536
21,21,9.713,19.212,5.565,50.169,25.0,6.671,0.702,4.319,6.619,1.401,3.458,6.642,7.2,-1,,,,,6.459,10.335,6.455,10.352,,
22,22,9.492,19.304,5.063,50.177,25.0,6.701,0.789,5.308,6.702,1.489,3.772,6.519,7.4,-1,,,,,-1.0,10.222,6.579,10.222,6.581,9.836
23,23,9.942,19.399,4.981,50.178,25.0,6.887,0.88,4.286,6.946,0.051,4.099,6.805,7.5,8.6,,,,,6.546,10.198,6.731,10.106,,
24,24,9.731,19.498,6.158,50.202,25.0,6.781,0.976,4.283,6.938,0.148,2.941,6.684,7.8,7.6,,,,,6.682,9.896,6.656,9.948,6.489,9.638
25,25,10.247,19.592,6.396,50.243,25.0,7.219,1.074,6.008,6.921,0.245,4.259,7.024,8,7.2,,,,,-1.0,10.112,6.776,10.055,,
26,26,10.035,19.692,6.814,50.229,25.0,7.01,1.166,4.456,7.108,0.336,2.896,6.927,8,7.6,,,,,6.711,10.074,7.047,10.096,6.754,9.534
